Timestamp,CPU_Percent,RAM_MB
2026-03-24 18:19:48,0,1690.3
2026-03-24 18:19:48,0,1727.7
2026-03-24 18:19:49,0,1727.7
2026-03-24 18:19:50,0,1727.7
2026-03-24 18:19:52,0,1705.7
2026-03-24 18:19:54,0,1527.2
2026-03-24 18:19:56,0,1496
2026-03-24 18:19:58,0,1503.9
2026-03-24 18:20:00,0,1503.9
2026-03-24 18:20:02,0,1509.1
2026-03-24 18:20:04,0,1508.1
2026-03-24 18:20:06,23,1507.9
2026-03-24 18:20:08,5,1485.6
2026-03-24 18:20:10,0,1485.6
2026-03-24 18:20:12,0,1491.6
2026-03-24 18:20:14,0,1482.1
2026-03-24 18:20:16,0,1506.7
2026-03-24 18:20:18,0,1506.8
2026-03-24 18:20:20,0,1506.8
2026-03-24 18:20:22,0,1506.8
2026-03-24 18:20:24,0,1509.7
2026-03-24 18:20:26,0,1509.7
2026-03-24 18:20:28,34,2086.4
2026-03-24 18:20:30,0,2149.4
2026-03-24 18:20:32,0,2235.6
2026-03-24 18:20:34,0,2288.2
2026-03-24 18:20:36,0,2365.1
2026-03-24 18:20:38,0,2406.9
2026-03-24 18:20:40,0,2355.7
2026-03-24 18:20:42,0,2457.6
2026-03-24 18:20:44,0,2541.6
2026-03-24 18:20:46,0,2465.5
2026-03-24 18:20:48,0,2477.4
2026-03-24 18:20:50,0,2483.5
2026-03-24 18:20:52,28,2479
2026-03-24 18:20:54,0,2489.2
2026-03-24 18:20:56,0,2490.5
2026-03-24 18:20:58,23,2510.2
2026-03-24 18:21:00,0,2541.7
2026-03-24 18:21:02,0,2550.7
2026-03-24 18:21:04,0,2553.5
2026-03-24 18:21:06,0,2554
2026-03-24 18:21:08,5,2553.1
2026-03-24 18:21:10,0,2518.3
2026-03-24 18:21:12,0,2523.8
2026-03-24 18:21:14,0,2513.4
2026-03-24 18:21:16,0,2516.8
2026-03-24 18:21:18,0,2517.2
2026-03-24 18:21:20,0,2515.4
2026-03-24 18:21:22,0,2517.6
2026-03-24 18:21:24,0,2516.4
2026-03-24 18:21:26,0,2518.9
2026-03-24 18:21:28,0,2518.8
2026-03-24 18:21:30,0,2515.7
2026-03-24 18:21:32,0,2518
2026-03-24 18:21:34,0,2517.3
2026-03-24 18:21:36,0,2520.1
2026-03-24 18:21:38,0,2527
2026-03-24 18:21:40,0,2539.7
2026-03-24 18:21:42,0,2543.2
2026-03-24 18:21:44,0,2551.2
2026-03-24 18:21:46,0,2563.7
2026-03-24 18:21:48,0,2566
2026-03-24 18:21:50,0,2569
2026-03-24 18:21:52,0,2566.3
2026-03-24 18:21:54,0,2569.7
2026-03-24 18:21:56,0,2572
2026-03-24 18:21:58,0,2566.5
2026-03-24 18:22:00,0,2569.6
2026-03-24 18:22:02,0,2572.3
2026-03-24 18:22:04,0,2568.8
2026-03-24 18:22:06,0,2571
2026-03-24 18:22:08,22,2568
2026-03-24 18:22:10,0,2570.8
2026-03-24 18:22:12,0,2572.6
2026-03-24 18:22:14,0,2570.5
2026-03-24 18:22:16,0,2572.7
2026-03-24 18:22:18,0,2574.8
2026-03-24 18:22:20,0,2569.9
2026-03-24 18:22:22,0,2573
2026-03-24 18:22:24,0,2609.3
2026-03-24 18:22:26,0,2576
2026-03-24 18:22:28,0,2579
2026-03-24 18:22:30,28,2576.5
2026-03-24 18:22:32,0,2579.7
2026-03-24 18:22:34,0,2583.3
2026-03-24 18:22:36,0,2578
2026-03-24 18:22:38,0,2580.9
2026-03-24 18:22:40,0,2579.8
2026-03-24 18:22:42,0,2582.9
2026-03-24 18:22:44,0,2583.6
2026-03-24 18:22:46,0,2580.3
2026-03-24 18:22:48,0,2582.7
2026-03-24 18:22:50,0,2585.1
2026-03-24 18:22:52,0,2581.8
2026-03-24 18:22:54,0,2582.8
2026-03-24 18:22:56,0,2580.4
2026-03-24 18:22:58,0,2582.7
2026-03-24 18:23:00,23,2585.2
2026-03-24 18:23:02,0,2579.5
2026-03-24 18:23:04,0,2583.3
2026-03-24 18:23:06,0,2585.8
2026-03-24 18:23:08,0,2580.2
2026-03-24 18:23:10,0,2582.9
2026-03-24 18:23:12,0,2581.6
2026-03-24 18:23:14,0,2584.2
2026-03-24 18:23:16,0,2587
2026-03-24 18:23:18,0,2580.8
2026-03-24 18:23:20,0,2584
2026-03-24 18:23:22,0,2586.8
2026-03-24 18:23:24,0,2581.3
2026-03-24 18:23:26,0,2584.2
2026-03-24 18:23:28,0,2582.4
2026-03-24 18:23:30,0,2585.3
2026-03-24 18:23:32,0,2587.9
2026-03-24 18:23:34,0,2584.2
2026-03-24 18:23:36,0,2586.5
2026-03-24 18:23:38,28,2588.7
2026-03-24 18:23:40,0,2582.7
2026-03-24 18:23:42,0,2585.9
2026-03-24 18:23:44,27,2584.5
2026-03-24 18:23:46,0,2586.8
2026-03-24 18:23:48,0,2588.6
2026-03-24 18:23:50,0,2585.4
2026-03-24 18:23:52,0,2587.1
2026-03-24 18:23:54,0,2589.3
2026-03-24 18:23:56,0,2584.1
2026-03-24 18:23:58,0,2587.1
2026-03-24 18:24:00,0,2585.3
2026-03-24 18:24:02,0,2587.5
2026-03-24 18:24:04,0,2590
2026-03-24 18:24:06,0,2586.2
2026-03-24 18:24:08,0,2588.3
2026-03-24 18:24:10,0,2591.4
2026-03-24 18:24:12,0,2585.6
2026-03-24 18:24:14,0,2588.7
2026-03-24 18:24:16,0,2587.2
2026-03-24 18:24:18,0,2589.5
2026-03-24 18:24:20,0,2591.2
2026-03-24 18:24:22,0,2588.1
2026-03-24 18:24:24,0,2618.8
2026-03-24 18:24:26,0,2592.4
2026-03-24 18:24:28,0,2588.5
2026-03-24 18:24:30,0,2590.5
2026-03-24 18:24:32,0,2591.8
2026-03-24 18:24:34,0,2588.2
2026-03-24 18:24:36,0,2590.6
2026-03-24 18:24:38,0,2593
2026-03-24 18:24:40,0,2588
2026-03-24 18:24:42,0,2591.9
2026-03-24 18:24:44,0,2594.6
2026-03-24 18:24:46,0,2589.3
2026-03-24 18:24:48,0,2592.6
2026-03-24 18:24:50,0,2591.4
2026-03-24 18:24:52,0,2593.9
2026-03-24 18:24:54,0,2596.4
2026-03-24 18:24:56,0,2592.8
2026-03-24 18:24:58,0,2595
2026-03-24 18:25:00,0,2597.1
2026-03-24 18:25:02,0,2593.8
2026-03-24 18:25:04,0,2596
2026-03-24 18:25:06,0,2594.4
2026-03-24 18:25:08,0,2595.2
2026-03-24 18:25:10,0,2597.6
2026-03-24 18:25:12,0,2594.2
2026-03-24 18:25:14,0,2596.3
2026-03-24 18:25:16,0,2598.5
2026-03-24 18:25:18,0,2592.8
2026-03-24 18:25:20,0,2595.9
2026-03-24 18:25:22,0,2594.2
2026-03-24 18:25:24,0,2596.9
2026-03-24 18:25:26,0,2598.9
2026-03-24 18:25:28,0,2595.5
2026-03-24 18:25:30,0,2597.6
2026-03-24 18:25:32,0,2599.8
2026-03-24 18:25:34,0,2596
2026-03-24 18:25:36,0,2598.1
2026-03-24 18:25:38,0,2596.1
2026-03-24 18:25:40,0,2598.3
2026-03-24 18:25:42,0,2599.8
2026-03-24 18:25:44,0,2596.3
2026-03-24 18:25:46,28,2598.6
2026-03-24 18:25:48,0,2600.8
2026-03-24 18:25:50,0,2595.3
2026-03-24 18:25:52,0,2598.5
2026-03-24 18:25:54,0,2596.8
2026-03-24 18:25:56,0,2599.1
2026-03-24 18:25:58,0,2601.1
2026-03-24 18:26:00,0,2597.3
2026-03-24 18:26:02,0,2599.7
2026-03-24 18:26:04,0,2602.3
2026-03-24 18:26:06,0,2598.4
2026-03-24 18:26:08,0,2600.5
2026-03-24 18:26:10,0,2596.5
2026-03-24 18:26:12,0,2599.8
2026-03-24 18:26:14,0,2601.8
2026-03-24 18:26:16,0,2597.5
2026-03-24 18:26:18,0,2600.5
2026-03-24 18:26:20,0,2602.6
2026-03-24 18:26:22,0,2596.9
2026-03-24 18:26:24,0,2626.8
2026-03-24 18:26:26,0,2595.3
2026-03-24 18:26:28,0,2599.9
2026-03-24 18:26:30,0,2604.3
2026-03-24 18:26:32,0,2601
2026-03-24 18:26:34,0,2603.1
2026-03-24 18:26:36,0,2605.4
2026-03-24 18:26:38,0,2600.2
2026-03-24 18:26:40,0,2603.6
2026-03-24 18:26:42,0,2605.8
2026-03-24 18:26:44,0,2602.1
